series_id	seasonal	category_code	subcategory_code	item_code	demographics_code	characteristics_code	process_code	series_title	footnote_codes	begin_year	begin_period	end_year	end_period
CXU080110LB0101M              	U	EXPEND	FOODTOTL	080110	LB01	01	M	Eggs-LB01-All Consumer Units	          	1984	A01	2013	A01
CXU080110LB0102M              	U	EXPEND	FOODTOTL	080110	LB01	02	M	Eggs-LB01-Lowest 20 percent income quintile	          	1984	A01	2013	A01
CXU080110LB0103M              	U	EXPEND	FOODTOTL	080110	LB01	03	M	Eggs-LB01-Second 20 percent income quintile	          	1984	A01	2013	A01
CXU080110LB0104M              	U	EXPEND	FOODTOTL	080110	LB01	04	M	Eggs-LB01-Third 20 percent income quintile	          	1984	A01	2013	A01
CXU080110LB0105M              	U	EXPEND	FOODTOTL	080110	LB01	05	M	Eggs-LB01-Fourth 20 percent income quintile	          	1984	A01	2013	A01
CXU080110LB0106M              	U	EXPEND	FOODTOTL	080110	LB01	06	M	Eggs-LB01-Highest 20 percent income quintile	          	1984	A01	2013	A01
CXU080110LB01A1M              	U	EXPEND	FOODTOTL	080110	LB01	A1	M	Eggs-LB01-Total complete income reporters	          	1984	A01	2003	A01
CXU080110LB01A2M              	U	EXPEND	FOODTOTL	080110	LB01	A2	M	Eggs-LB01-Incomplete income reports	          	1984	A01	2003	A01
CXU080110LB0201M              	U	EXPEND	FOODTOTL	080110	LB02	01	M	Eggs-LB02-All Consumer Units	          	1984	A01	2013	A01
CXU080110LB0202M              	U	EXPEND	FOODTOTL	080110	LB02	02	M	Eggs-LB02-Before tax income of less than $5,000	          	1984	A01	2013	A01
CXU080110LB0203M              	U	EXPEND	FOODTOTL	080110	LB02	03	M	Eggs-LB02-$5,000 to $9,999 before tax income	          	1984	A01	2013	A01
CXU080110LB0204M              	U	EXPEND	FOODTOTL	080110	LB02	04	M	Eggs-LB02-$10,000 to $14,999 before tax income	          	1984	A01	2013	A01
CXU080110LB0205M              	U	EXPEND	FOODTOTL	080110	LB02	05	M	Eggs-LB02-$15,000 to $19,999 before tax income	          	1984	A01	2013	A01
CXU080110LB0206M              	U	EXPEND	FOODTOTL	080110	LB02	06	M	Eggs-LB02-$20,000 to $29,999 before tax income	          	1984	A01	2013	A01
CXU080110LB0207M              	U	EXPEND	FOODTOTL	080110	LB02	07	M	Eggs-LB02-$30,000 to $39,999 before tax income	          	1984	A01	2013	A01
CXU080110LB0208M              	U	EXPEND	FOODTOTL	080110	LB02	08	M	Eggs-LB02-$40,000 to $49,999 before tax income	          	1984	A01	2013	A01
CXU080110LB0209M              	U	EXPEND	FOODTOTL	080110	LB02	09	M	Eggs-LB02-$50,000 to $69,999 before tax income	          	1992	A01	2013	A01
CXU080110LB0210M              	U	EXPEND	FOODTOTL	080110	LB02	10	M	Eggs-LB02-Before tax income of $70,000 and over	          	1992	A01	2013	A01
CXU080110LB0211M              	U	EXPEND	FOODTOTL	080110	LB02	11	M	Eggs-LB02-Before tax income of less than $70,000(from 2003)	          	2003	A01	2013	A01
CXU080110LB0212M              	U	EXPEND	FOODTOTL	080110	LB02	12	M	Eggs-LB02-$70,000 to $79,999 before tax income(from 2003)	          	2003	A01	2013	A01
CXU080110LB0213M              	U	EXPEND	FOODTOTL	080110	LB02	13	M	Eggs-LB02-$80,000 to $99,999 before tax income(from 2003)	          	2003	A01	2013	A01
CXU080110LB0214M              	U	EXPEND	FOODTOTL	080110	LB02	14	M	Eggs-LB02-Before tax income of $100,000 and over(from 2003)	          	2003	A01	2013	A01
CXU080110LB0215M              	U	EXPEND	FOODTOTL	080110	LB02	15	M	Eggs-LB02-$100,000 to $119,999 before tax income(from 2003)	          	2003	A01	2013	A01
CXU080110LB0216M              	U	EXPEND	FOODTOTL	080110	LB02	16	M	Eggs-LB02-$120,000 to $149,999 before tax income(from 2003)	          	2003	A01	2013	A01
CXU080110LB0217M              	U	EXPEND	FOODTOTL	080110	LB02	17	M	Eggs-LB02-Before tax income of $150,000 and over(from 2003)	          	2003	A01	2013	A01
CXU080110LB02A1M              	U	EXPEND	FOODTOTL	080110	LB02	A1	M	Eggs-LB02-Before tax income of $50,000 and over	          	1984	A01	1991	A01
CXU080110LB02A2M              	U	EXPEND	FOODTOTL	080110	LB02	A2	M	Eggs-LB02-Total complete income reporters	          	1984	A01	2003	A01
