"category","demo_code","char_text","year","mean"
"Adults 65 and older","LB11","Region of residence: midwest",1984,0.3
"Adults 65 and older","LB11","Region of residence: midwest",1985,0.3
"Adults 65 and older","LB11","Region of residence: midwest",1986,0.3
"Adults 65 and older","LB11","Region of residence: midwest",1987,0.3
"Adults 65 and older","LB11","Region of residence: midwest",1988,0.3
"Adults 65 and older","LB11","Region of residence: midwest",1989,0.3
"Adults 65 and older","LB11","Region of residence: midwest",1990,0.3
"Adults 65 and older","LB11","Region of residence: midwest",1991,0.3
"Adults 65 and older","LB11","Region of residence: midwest",1992,0.3
"Adults 65 and older","LB11","Region of residence: midwest",1993,0.3
"Adults 65 and older","LB11","Region of residence: midwest",1994,0.3
"Adults 65 and older","LB11","Region of residence: midwest",1995,0.3
"Adults 65 and older","LB11","Region of residence: midwest",1996,0.3
"Adults 65 and older","LB11","Region of residence: midwest",1997,0.3
"Adults 65 and older","LB11","Region of residence: midwest",1998,0.3
"Adults 65 and older","LB11","Region of residence: midwest",1999,0.3
"Adults 65 and older","LB11","Region of residence: midwest",2000,0.3
"Adults 65 and older","LB11","Region of residence: midwest",2001,0.3
"Adults 65 and older","LB11","Region of residence: midwest",2002,0.3
"Adults 65 and older","LB11","Region of residence: midwest",2003,0.3
"Adults 65 and older","LB11","Region of residence: midwest",2004,0.3
"Adults 65 and older","LB11","Region of residence: midwest",2005,0.3
"Adults 65 and older","LB11","Region of residence: midwest",2006,0.3
"Adults 65 and older","LB11","Region of residence: midwest",2007,0.3
"Adults 65 and older","LB11","Region of residence: midwest",2008,0.3
"Adults 65 and older","LB11","Region of residence: midwest",2009,0.3
"Adults 65 and older","LB11","Region of residence: midwest",2010,0.3
"Adults 65 and older","LB11","Region of residence: midwest",2011,0.3
"Adults 65 and older","LB11","Region of residence: midwest",2012,0.3
"Adults 65 and older","LB11","Region of residence: midwest",2013,0.3
"Adults 65 and older","LB11","Region of residence: northeast",1984,0.4
"Adults 65 and older","LB11","Region of residence: northeast",1985,0.3
"Adults 65 and older","LB11","Region of residence: northeast",1986,0.3
"Adults 65 and older","LB11","Region of residence: northeast",1987,0.4
"Adults 65 and older","LB11","Region of residence: northeast",1988,0.3
"Adults 65 and older","LB11","Region of residence: northeast",1989,0.3
"Adults 65 and older","LB11","Region of residence: northeast",1990,0.3
"Adults 65 and older","LB11","Region of residence: northeast",1991,0.3
"Adults 65 and older","LB11","Region of residence: northeast",1992,0.3
"Adults 65 and older","LB11","Region of residence: northeast",1993,0.4
"Adults 65 and older","LB11","Region of residence: northeast",1994,0.4
"Adults 65 and older","LB11","Region of residence: northeast",1995,0.4
"Adults 65 and older","LB11","Region of residence: northeast",1996,0.3
"Adults 65 and older","LB11","Region of residence: northeast",1997,0.3
"Adults 65 and older","LB11","Region of residence: northeast",1998,0.3
"Adults 65 and older","LB11","Region of residence: northeast",1999,0.3
"Adults 65 and older","LB11","Region of residence: northeast",2000,0.3
"Adults 65 and older","LB11","Region of residence: northeast",2001,0.3
"Adults 65 and older","LB11","Region of residence: northeast",2002,0.3
"Adults 65 and older","LB11","Region of residence: northeast",2003,0.3
"Adults 65 and older","LB11","Region of residence: northeast",2004,0.3
"Adults 65 and older","LB11","Region of residence: northeast",2005,0.3
"Adults 65 and older","LB11","Region of residence: northeast",2006,0.3
"Adults 65 and older","LB11","Region of residence: northeast",2007,0.3
"Adults 65 and older","LB11","Region of residence: northeast",2008,0.3
"Adults 65 and older","LB11","Region of residence: northeast",2009,0.3
"Adults 65 and older","LB11","Region of residence: northeast",2010,0.4
"Adults 65 and older","LB11","Region of residence: northeast",2011,0.4
"Adults 65 and older","LB11","Region of residence: northeast",2012,0.4
"Adults 65 and older","LB11","Region of residence: northeast",2013,0.4
"Adults 65 and older","LB11","Region of residence: south",1984,0.3
"Adults 65 and older","LB11","Region of residence: south",1985,0.3
"Adults 65 and older","LB11","Region of residence: south",1986,0.3
"Adults 65 and older","LB11","Region of residence: south",1987,0.3
"Adults 65 and older","LB11","Region of residence: south",1988,0.3
"Adults 65 and older","LB11","Region of residence: south",1989,0.3
"Adults 65 and older","LB11","Region of residence: south",1990,0.3
"Adults 65 and older","LB11","Region of residence: south",1991,0.3
"Adults 65 and older","LB11","Region of residence: south",1992,0.3
"Adults 65 and older","LB11","Region of residence: south",1993,0.3
"Adults 65 and older","LB11","Region of residence: south",1994,0.3
"Adults 65 and older","LB11","Region of residence: south",1995,0.3
"Adults 65 and older","LB11","Region of residence: south",1996,0.3
"Adults 65 and older","LB11","Region of residence: south",1997,0.3
"Adults 65 and older","LB11","Region of residence: south",1998,0.3
"Adults 65 and older","LB11","Region of residence: south",1999,0.3
"Adults 65 and older","LB11","Region of residence: south",2000,0.3
"Adults 65 and older","LB11","Region of residence: south",2001,0.3
"Adults 65 and older","LB11","Region of residence: south",2002,0.3
"Adults 65 and older","LB11","Region of residence: south",2003,0.3
"Adults 65 and older","LB11","Region of residence: south",2004,0.3
"Adults 65 and older","LB11","Region of residence: south",2005,0.3
"Adults 65 and older","LB11","Region of residence: south",2006,0.3
"Adults 65 and older","LB11","Region of residence: south",2007,0.3
"Adults 65 and older","LB11","Region of residence: south",2008,0.3
"Adults 65 and older","LB11","Region of residence: south",2009,0.3
"Adults 65 and older","LB11","Region of residence: south",2010,0.3
"Adults 65 and older","LB11","Region of residence: south",2011,0.3
"Adults 65 and older","LB11","Region of residence: south",2012,0.3
"Adults 65 and older","LB11","Region of residence: south",2013,0.3
"Adults 65 and older","LB11","Region of residence: west",1984,0.3
"Adults 65 and older","LB11","Region of residence: west",1985,0.3
"Adults 65 and older","LB11","Region of residence: west",1986,0.3
"Adults 65 and older","LB11","Region of residence: west",1987,0.3
"Adults 65 and older","LB11","Region of residence: west",1988,0.3
"Adults 65 and older","LB11","Region of residence: west",1989,0.3
"Adults 65 and older","LB11","Region of residence: west",1990,0.3
"Adults 65 and older","LB11","Region of residence: west",1991,0.3
"Adults 65 and older","LB11","Region of residence: west",1992,0.3
"Adults 65 and older","LB11","Region of residence: west",1993,0.3
"Adults 65 and older","LB11","Region of residence: west",1994,0.3
"Adults 65 and older","LB11","Region of residence: west",1995,0.3
"Adults 65 and older","LB11","Region of residence: west",1996,0.3
"Adults 65 and older","LB11","Region of residence: west",1997,0.3
"Adults 65 and older","LB11","Region of residence: west",1998,0.3
"Adults 65 and older","LB11","Region of residence: west",1999,0.3
"Adults 65 and older","LB11","Region of residence: west",2000,0.3
"Adults 65 and older","LB11","Region of residence: west",2001,0.3
"Adults 65 and older","LB11","Region of residence: west",2002,0.3
"Adults 65 and older","LB11","Region of residence: west",2003,0.3
"Adults 65 and older","LB11","Region of residence: west",2004,0.3
"Adults 65 and older","LB11","Region of residence: west",2005,0.3
"Adults 65 and older","LB11","Region of residence: west",2006,0.3
"Adults 65 and older","LB11","Region of residence: west",2007,0.3
"Adults 65 and older","LB11","Region of residence: west",2008,0.3
"Adults 65 and older","LB11","Region of residence: west",2009,0.3
"Adults 65 and older","LB11","Region of residence: west",2010,0.3
"Adults 65 and older","LB11","Region of residence: west",2011,0.3
"Adults 65 and older","LB11","Region of residence: west",2012,0.3
"Adults 65 and older","LB11","Region of residence: west",2013,0.3
"Alcoholic beverages","LB11","Region of residence: midwest",1984,243
"Alcoholic beverages","LB11","Region of residence: midwest",1985,292
"Alcoholic beverages","LB11","Region of residence: midwest",1986,253
"Alcoholic beverages","LB11","Region of residence: midwest",1987,251
"Alcoholic beverages","LB11","Region of residence: midwest",1988,273
"Alcoholic beverages","LB11","Region of residence: midwest",1989,275
"Alcoholic beverages","LB11","Region of residence: midwest",1990,293
"Alcoholic beverages","LB11","Region of residence: midwest",1991,261
"Alcoholic beverages","LB11","Region of residence: midwest",1992,290
"Alcoholic beverages","LB11","Region of residence: midwest",1993,250
"Alcoholic beverages","LB11","Region of residence: midwest",1994,246
"Alcoholic beverages","LB11","Region of residence: midwest",1995,261
"Alcoholic beverages","LB11","Region of residence: midwest",1996,310
"Alcoholic beverages","LB11","Region of residence: midwest",1997,306
"Alcoholic beverages","LB11","Region of residence: midwest",1998,284
"Alcoholic beverages","LB11","Region of residence: midwest",1999,324
"Alcoholic beverages","LB11","Region of residence: midwest",2000,388
"Alcoholic beverages","LB11","Region of residence: midwest",2001,346
"Alcoholic beverages","LB11","Region of residence: midwest",2002,410
"Alcoholic beverages","LB11","Region of residence: midwest",2003,403
"Alcoholic beverages","LB11","Region of residence: midwest",2004,427
"Alcoholic beverages","LB11","Region of residence: midwest",2005,460
"Alcoholic beverages","LB11","Region of residence: midwest",2006,523
"Alcoholic beverages","LB11","Region of residence: midwest",2007,501
"Alcoholic beverages","LB11","Region of residence: midwest",2008,450
"Alcoholic beverages","LB11","Region of residence: midwest",2009,418
"Alcoholic beverages","LB11","Region of residence: midwest",2010,380
"Alcoholic beverages","LB11","Region of residence: midwest",2011,387
"Alcoholic beverages","LB11","Region of residence: midwest",2012,437
"Alcoholic beverages","LB11","Region of residence: midwest",2013,436
"Alcoholic beverages","LB11","Region of residence: northeast",1984,278
"Alcoholic beverages","LB11","Region of residence: northeast",1985,340
"Alcoholic beverages","LB11","Region of residence: northeast",1986,322
"Alcoholic beverages","LB11","Region of residence: northeast",1987,342
"Alcoholic beverages","LB11","Region of residence: northeast",1988,272
"Alcoholic beverages","LB11","Region of residence: northeast",1989,304
"Alcoholic beverages","LB11","Region of residence: northeast",1990,332
"Alcoholic beverages","LB11","Region of residence: northeast",1991,355
"Alcoholic beverages","LB11","Region of residence: northeast",1992,343
"Alcoholic beverages","LB11","Region of residence: northeast",1993,314
"Alcoholic beverages","LB11","Region of residence: northeast",1994,313
"Alcoholic beverages","LB11","Region of residence: northeast",1995,327
"Alcoholic beverages","LB11","Region of residence: northeast",1996,353
"Alcoholic beverages","LB11","Region of residence: northeast",1997,379
"Alcoholic beverages","LB11","Region of residence: northeast",1998,368
"Alcoholic beverages","LB11","Region of residence: northeast",1999,367
"Alcoholic beverages","LB11","Region of residence: northeast",2000,390
"Alcoholic beverages","LB11","Region of residence: northeast",2001,386
"Alcoholic beverages","LB11","Region of residence: northeast",2002,458
"Alcoholic beverages","LB11","Region of residence: northeast",2003,427
"Alcoholic beverages","LB11","Region of residence: northeast",2004,625
"Alcoholic beverages","LB11","Region of residence: northeast",2005,441
"Alcoholic beverages","LB11","Region of residence: northeast",2006,519
"Alcoholic beverages","LB11","Region of residence: northeast",2007,508
"Alcoholic beverages","LB11","Region of residence: northeast",2008,455
"Alcoholic beverages","LB11","Region of residence: northeast",2009,468
"Alcoholic beverages","LB11","Region of residence: northeast",2010,528
"Alcoholic beverages","LB11","Region of residence: northeast",2011,491
"Alcoholic beverages","LB11","Region of residence: northeast",2012,535
"Alcoholic beverages","LB11","Region of residence: northeast",2013,527
"Alcoholic beverages","LB11","Region of residence: south",1984,255
"Alcoholic beverages","LB11","Region of residence: south",1985,251
"Alcoholic beverages","LB11","Region of residence: south",1986,211
"Alcoholic beverages","LB11","Region of residence: south",1987,244
"Alcoholic beverages","LB11","Region of residence: south",1988,229
"Alcoholic beverages","LB11","Region of residence: south",1989,232
"Alcoholic beverages","LB11","Region of residence: south",1990,249
"Alcoholic beverages","LB11","Region of residence: south",1991,250
"Alcoholic beverages","LB11","Region of residence: south",1992,250
"Alcoholic beverages","LB11","Region of residence: south",1993,215
"Alcoholic beverages","LB11","Region of residence: south",1994,262
"Alcoholic beverages","LB11","Region of residence: south",1995,242
"Alcoholic beverages","LB11","Region of residence: south",1996,273
"Alcoholic beverages","LB11","Region of residence: south",1997,229
"Alcoholic beverages","LB11","Region of residence: south",1998,249
"Alcoholic beverages","LB11","Region of residence: south",1999,256
"Alcoholic beverages","LB11","Region of residence: south",2000,304
"Alcoholic beverages","LB11","Region of residence: south",2001,298
"Alcoholic beverages","LB11","Region of residence: south",2002,282
"Alcoholic beverages","LB11","Region of residence: south",2003,345
"Alcoholic beverages","LB11","Region of residence: south",2004,348
"Alcoholic beverages","LB11","Region of residence: south",2005,350
"Alcoholic beverages","LB11","Region of residence: south",2006,366
"Alcoholic beverages","LB11","Region of residence: south",2007,382
"Alcoholic beverages","LB11","Region of residence: south",2008,389
"Alcoholic beverages","LB11","Region of residence: south",2009,368
"Alcoholic beverages","LB11","Region of residence: south",2010,325
"Alcoholic beverages","LB11","Region of residence: south",2011,386
"Alcoholic beverages","LB11","Region of residence: south",2012,375
"Alcoholic beverages","LB11","Region of residence: south",2013,360
"Alcoholic beverages","LB11","Region of residence: west",1984,353
"Alcoholic beverages","LB11","Region of residence: west",1985,382
"Alcoholic beverages","LB11","Region of residence: west",1986,338
"Alcoholic beverages","LB11","Region of residence: west",1987,356
"Alcoholic beverages","LB11","Region of residence: west",1988,326
"Alcoholic beverages","LB11","Region of residence: west",1989,360
"Alcoholic beverages","LB11","Region of residence: west",1990,328
"Alcoholic beverages","LB11","Region of residence: west",1991,358
"Alcoholic beverages","LB11","Region of residence: west",1992,355
"Alcoholic beverages","LB11","Region of residence: west",1993,334
"Alcoholic beverages","LB11","Region of residence: west",1994,309
"Alcoholic beverages","LB11","Region of residence: west",1995,307
"Alcoholic beverages","LB11","Region of residence: west",1996,323
"Alcoholic beverages","LB11","Region of residence: west",1997,377
"Alcoholic beverages","LB11","Region of residence: west",1998,378
"Alcoholic beverages","LB11","Region of residence: west",1999,365
"Alcoholic beverages","LB11","Region of residence: west",2000,449
"Alcoholic beverages","LB11","Region of residence: west",2001,400
"Alcoholic beverages","LB11","Region of residence: west",2002,420
"Alcoholic beverages","LB11","Region of residence: west",2003,421
"Alcoholic beverages","LB11","Region of residence: west",2004,532
"Alcoholic beverages","LB11","Region of residence: west",2005,503
"Alcoholic beverages","LB11","Region of residence: west",2006,667
"Alcoholic beverages","LB11","Region of residence: west",2007,488
"Alcoholic beverages","LB11","Region of residence: west",2008,518
"Alcoholic beverages","LB11","Region of residence: west",2009,530
"Alcoholic beverages","LB11","Region of residence: west",2010,492
"Alcoholic beverages","LB11","Region of residence: west",2011,614
"Alcoholic beverages","LB11","Region of residence: west",2012,524
"Alcoholic beverages","LB11","Region of residence: west",2013,528
"Apparel and services","LB11","Region of residence: midwest",1984,1267
