demographics_code	characteristics_code	characteristics_text	display_level	selectable	sort_sequence
LB01	01	All Consumer Units	0	T	1010	
LB01	02	Lowest 20 percent income quintile	0	T	1020	
LB01	03	Second 20 percent income quintile	0	T	1030	
LB01	04	Third 20 percent income quintile	0	T	1040	
LB01	05	Fourth 20 percent income quintile	0	T	1050	
LB01	06	Highest 20 percent income quintile	0	T	1060	
LB01	A1	Total complete income reporters	0	T	1070	
LB01	A2	Incomplete income reports	0	T	1080	
LB02	01	All Consumer Units	0	T	2010	
LB02	02	Before tax income of less than $5,000	0	T	2020	
LB02	03	$5,000 to $9,999 before tax income	0	T	2030	
LB02	04	$10,000 to $14,999 before tax income	0	T	2040	
LB02	05	$15,000 to $19,999 before tax income	0	T	2050	
LB02	06	$20,000 to $29,999 before tax income	0	T	2060	
LB02	07	$30,000 to $39,999 before tax income	0	T	2070	
LB02	08	$40,000 to $49,999 before tax income	0	T	2080	
LB02	09	$50,000 to $69,999 before tax income	0	T	2090	
LB02	10	Before tax income of $70,000 and over	0	T	2100	
LB02	11	Before tax income of less than $70,000(from 2003)	0	T	2110	
LB02	12	$70,000 to $79,999 before tax income(from 2003)	0	T	2120	
LB02	13	$80,000 to $99,999 before tax income(from 2003)	0	T	2130	
LB02	14	Before tax income of $100,000 and over(from 2003)	0	T	2140	
LB02	15	$100,000 to $119,999 before tax income(from 2003)	0	T	2150	
LB02	16	$120,000 to $149,999 before tax income(from 2003)	0	T	2160	
LB02	17	Before tax income of $150,000 and over(from 2003)	0	T	2170	
LB02	A1	Before tax income of $50,000 and over	0	T	2180	
LB02	A2	Total complete income reporters	0	T	2190	
LB04	01	All Consumer Units	0	T	4010	
LB04	02	Reference person under age 25	0	T	4020	
LB04	03	Reference person between age 25 and 34	0	T	4030	
LB04	04	Reference person between age 35 and 44	0	T	4040	
LB04	05	Reference person between age 45 and 54	0	T	4050	
LB04	06	Reference person between age 55 and 64	0	T	4060	
LB04	07	Reference person over age 65	0	T	4070	
LB04	08	Reference person between age 65 and 74	0	T	4080	
LB04	09	Reference person over the age of 75	0	T	4090	
LB05	01	All Consumer Units	0	T	5010	
LB05	02	One person consumer unit	0	T	5020	
LB05	03	Two or more people in consumer unit	0	T	5030	
LB05	04	Two people in consumer unit	1	T	5040	
LB05	05	Three people in consumer unit	1	T	5050	
LB05	06	Four people in consumer unit	1	T	5060	
LB05	07	Five or more people in consumer unit	1	T	5070	
LB05	A1	Five people in consumer unit	1	T	5080	
LB05	A2	Six or more people in consumer unit	1	T	5090	
LB06	01	Total husband and wife consumer units	0	T	6010	
LB06	02	Husband and wife only consumer units	1	T	6020	
LB06	03	Total husband and wife with children cons. units	1	T	6030	
LB06	04	Husband and wife w/ children, oldest child under 6	2	T	6040	
LB06	05	Husband and wife w/ children, oldest child 6 to 17	2	T	6050	
LB06	06	Husband & wife w/ children, old. child 18 or over	2	T	6060	
LB06	07	Other husband and wife consumer units	1	T	6070	
LB06	08	One parent, at least one child under 18	0	T	6080	
LB06	09	Single person and other consumer units	0	T	6090	
LB07	01	All Consumer Units	0	T	7010	
LB07	02	Single Consumers, no earner	0	T	7020	
LB07	03	Single Consumers, one earner	0	T	7030	
