Series ID,View Description,"Annual
2003","Annual
2004","Annual
2005","Annual
2006","Annual
2007","Annual
2008","Annual
2009","Annual
2010","Annual
2011","Annual
2012","Annual
2013"
CXULIFEINSRLB0201M,Original Data Value,397,390,381,322,309,317,309,318,317,353,319
CXULIFEINSRLB0201M,12-Month Net Change,-9,-7,-9,-59,-13,8,-8,9,-1,36,-34
CXULIFEINSRLB0201M,12-Month Percent Change,-2.2,-1.8,-2.3,-15.5,-4.0,2.6,-2.5,2.9,-0.3,11.4,-9.6
CXULIFEINSRLB0401M,Original Data Value,397,390,381,322,309,317,309,318,317,353,319
CXULIFEINSRLB0401M,12-Month Net Change,-9,-7,-9,-59,-13,8,-8,9,-1,36,-34
CXULIFEINSRLB0401M,12-Month Percent Change,-2.2,-1.8,-2.3,-15.5,-4.0,2.6,-2.5,2.9,-0.3,11.4,-9.6
CXULIFEINSRLB0501M,Original Data Value,397,390,381,322,309,317,309,318,317,353,319
CXULIFEINSRLB0501M,12-Month Net Change,-9,-7,-9,-59,-13,8,-8,9,-1,36,-34
CXULIFEINSRLB0501M,12-Month Percent Change,-2.2,-1.8,-2.3,-15.5,-4.0,2.6,-2.5,2.9,-0.3,11.4,-9.6
CXULIFEINSRLB0701M,Original Data Value,397,390,381,322,309,317,309,318,317,353,319
CXULIFEINSRLB0701M,12-Month Net Change,-9,-7,-9,-59,-13,8,-8,9,-1,36,-34
CXULIFEINSRLB0701M,12-Month Percent Change,-2.2,-1.8,-2.3,-15.5,-4.0,2.6,-2.5,2.9,-0.3,11.4,-9.6
CXULIFEINSRLB0801M,Original Data Value,397,390,381,322,309,317,309,318,317,353,319
CXULIFEINSRLB0801M,12-Month Net Change,-9,-7,-9,-59,-13,8,-8,9,-1,36,-34
CXULIFEINSRLB0801M,12-Month Percent Change,-2.2,-1.8,-2.3,-15.5,-4.0,2.6,-2.5,2.9,-0.3,11.4,-9.6
CXULIFEINSRLB0802M,Original Data Value,527,514,511,428,415,426,417,432,437,478,446
