"Category","Demo_Code","Year","All","Midwest","Northeast","South","West"
"Adults 65 and older","LB11",1984,0.3,0.3,0.4,0.3,0.3
"Adults 65 and older","LB11",1985,0.3,0.3,0.3,0.3,0.3
"Adults 65 and older","LB11",1986,0.3,0.3,0.3,0.3,0.3
"Adults 65 and older","LB11",1987,0.3,0.3,0.4,0.3,0.3
"Adults 65 and older","LB11",1988,0.3,0.3,0.3,0.3,0.3
"Adults 65 and older","LB11",1989,0.3,0.3,0.3,0.3,0.3
"Adults 65 and older","LB11",1990,0.3,0.3,0.3,0.3,0.3
"Adults 65 and older","LB11",1991,0.3,0.3,0.3,0.3,0.3
"Adults 65 and older","LB11",1992,0.3,0.3,0.3,0.3,0.3
"Adults 65 and older","LB11",1993,0.3,0.3,0.4,0.3,0.3
"Adults 65 and older","LB11",1994,0.3,0.3,0.4,0.3,0.3
"Adults 65 and older","LB11",1995,0.3,0.3,0.4,0.3,0.3
"Adults 65 and older","LB11",1996,0.3,0.3,0.3,0.3,0.3
"Adults 65 and older","LB11",1997,0.3,0.3,0.3,0.3,0.3
"Adults 65 and older","LB11",1998,0.3,0.3,0.3,0.3,0.3
"Adults 65 and older","LB11",1999,0.3,0.3,0.3,0.3,0.3
"Adults 65 and older","LB11",2000,0.3,0.3,0.3,0.3,0.3
"Adults 65 and older","LB11",2001,0.3,0.3,0.3,0.3,0.3
"Adults 65 and older","LB11",2002,0.3,0.3,0.3,0.3,0.3
"Adults 65 and older","LB11",2003,0.3,0.3,0.3,0.3,0.3
"Adults 65 and older","LB11",2004,0.3,0.3,0.3,0.3,0.3
"Adults 65 and older","LB11",2005,0.3,0.3,0.3,0.3,0.3
"Adults 65 and older","LB11",2006,0.3,0.3,0.3,0.3,0.3
"Adults 65 and older","LB11",2007,0.3,0.3,0.3,0.3,0.3
"Adults 65 and older","LB11",2008,0.3,0.3,0.3,0.3,0.3
"Adults 65 and older","LB11",2009,0.3,0.3,0.3,0.3,0.3
"Adults 65 and older","LB11",2010,0.3,0.3,0.4,0.3,0.3
"Adults 65 and older","LB11",2011,0.3,0.3,0.4,0.3,0.3
"Adults 65 and older","LB11",2012,0.3,0.3,0.4,0.3,0.3
"Adults 65 and older","LB11",2013,0.3,0.3,0.4,0.3,0.3
"Alcoholic beverages","LB11",1984,275,243,278,255,353
"Alcoholic beverages","LB11",1985,306,292,340,251,382
"Alcoholic beverages","LB11",1986,271,253,322,211,338
"Alcoholic beverages","LB11",1987,289,251,342,244,356
"Alcoholic beverages","LB11",1988,269,273,272,229,326
"Alcoholic beverages","LB11",1989,284,275,304,232,360
"Alcoholic beverages","LB11",1990,293,293,332,249,328
"Alcoholic beverages","LB11",1991,297,261,355,250,358
"Alcoholic beverages","LB11",1992,301,290,343,250,355
"Alcoholic beverages","LB11",1993,268,250,314,215,334
"Alcoholic beverages","LB11",1994,278,246,313,262,309
"Alcoholic beverages","LB11",1995,277,261,327,242,307
"Alcoholic beverages","LB11",1996,309,310,353,273,323
"Alcoholic beverages","LB11",1997,309,306,379,229,377
"Alcoholic beverages","LB11",1998,309,284,368,249,378
"Alcoholic beverages","LB11",1999,318,324,367,256,365
"Alcoholic beverages","LB11",2000,372,388,390,304,449
"Alcoholic beverages","LB11",2001,349,346,386,298,400
"Alcoholic beverages","LB11",2002,376,410,458,282,420
"Alcoholic beverages","LB11",2003,391,403,427,345,421
"Alcoholic beverages","LB11",2004,459,427,625,348,532
"Alcoholic beverages","LB11",2005,426,460,441,350,503
"Alcoholic beverages","LB11",2006,497,523,519,366,667
"Alcoholic beverages","LB11",2007,457,501,508,382,488
"Alcoholic beverages","LB11",2008,444,450,455,389,518
"Alcoholic beverages","LB11",2009,435,418,468,368,530
"Alcoholic beverages","LB11",2010,412,380,528,325,492
"Alcoholic beverages","LB11",2011,456,387,491,386,614
"Alcoholic beverages","LB11",2012,451,437,535,375,524
"Alcoholic beverages","LB11",2013,445,436,527,360,528
"Apparel and services","LB11",1984,1319,1267,1444,1289,1300
"Apparel and services","LB11",1985,1420,1281,1439,1466,1511
"Apparel and services","LB11",1986,1346,1319,1473,1240,1425
"Apparel and services","LB11",1987,1446,1309,1707,1378,1456
"Apparel and services","LB11",1988,1489,1465,1619,1406,1521
"Apparel and services","LB11",1989,1582,1491,1684,1419,1858
"Apparel and services","LB11",1990,1618,1359,1809,1549,1853
"Apparel and services","LB11",1991,1735,1641,1877,1683,1792
"Apparel and services","LB11",1992,1710,1637,2077,1540,1702
"Apparel and services","LB11",1993,1676,1662,1834,1558,1732
"Apparel and services","LB11",1994,1644,1622,1913,1459,1710
"Apparel and services","LB11",1995,1704,1722,1750,1667,1697
"Apparel and services","LB11",1996,1752,1777,1902,1653,1744
"Apparel and services","LB11",1997,1729,1707,1916,1620,1755
"Apparel and services","LB11",1998,1674,1624,1848,1623,1652
"Apparel and services","LB11",1999,1743,1591,1817,1598,2070
"Apparel and services","LB11",2000,1856,1917,2115,1617,1945
"Apparel and services","LB11",2001,1743,1695,2072,1602,1736
"Apparel and services","LB11",2002,1749,1728,1965,1592,1836
"Apparel and services","LB11",2003,1640,1563,1859,1451,1834
"Apparel and services","LB11",2004,1816,1672,2176,1643,1936
"Apparel and services","LB11",2005,1886,1750,2036,1836,1975
"Apparel and services","LB11",2006,1874,1700,2057,1737,2126
"Apparel and services","LB11",2007,1881,1866,2068,1692,2042
"Apparel and services","LB11",2008,1801,1618,1974,1772,1888
"Apparel and services","LB11",2009,1725,1461,1782,1786,1844
"Apparel and services","LB11",2010,1700,1474,2084,1506,1932
"Apparel and services","LB11",2011,1740,1624,1905,1615,1926
"Apparel and services","LB11",2012,1736,1564,1833,1662,1950
"Apparel and services","LB11",2013,1604,1485,1816,1453,1801
"Apparel, Girls, 2 to 15","LB11",1984,79,88,91,68,72
"Apparel, Girls, 2 to 15","LB11",1985,81,86,69,87,78
"Apparel, Girls, 2 to 15","LB11",1986,72,74,79,67,71
"Apparel, Girls, 2 to 15","LB11",1987,81,80,94,81,68
"Apparel, Girls, 2 to 15","LB11",1988,95,103,107,86,87
"Apparel, Girls, 2 to 15","LB11",1989,93,80,100,90,107
"Apparel, Girls, 2 to 15","LB11",1990,87,84,91,81,98
"Apparel, Girls, 2 to 15","LB11",1991,99,104,111,88,97
"Apparel, Girls, 2 to 15","LB11",1992,94,96,112,81,95
"Apparel, Girls, 2 to 15","LB11",1993,93,96,91,91,93
"Apparel, Girls, 2 to 15","LB11",1994,100,115,105,91,92
"Apparel, Girls, 2 to 15","LB11",1995,101,108,90,107,95
"Apparel, Girls, 2 to 15","LB11",1996,111,118,103,108,114
"Apparel, Girls, 2 to 15","LB11",1997,106,121,98,101,105
"Apparel, Girls, 2 to 15","LB11",1998,103,110,107,96,105
