"Midwest" "Northeast" "South" "West"
"1984" 299 242 335 305
"1985" 307 220 322 229
"1986" 282 243 335 286
"1987" 302 258 336 252
"1988" 312 290 340 299
"1989" 341 337 390 291
"1990" 355 341 368 298
"1991" 367 397 366 283
"1992" 333 367 395 293
"1993" 323 356 468 420
"1994" 395 412 432 332
"1995" 400 353 392 330
"1996" 364 351 380 299
"1997" 361 386 421 322
"1998" 397 445 416 330
"1999" 378 403 411 379
"2000" 429 423 407 333
"2001" 474 405 418 335
"2002" 448 460 389 345
"2003" 423 454 381 347
"2004" 439 364 394 357
"2005" 380 374 419 326
"2006" 344 334 313 304
"2007" 347 342 298 262
"2008" 306 384 321 265
"2009" 340 350 298 262
"2010" 384 350 286 279
"2011" 296 406 307 282
"2012" 334 332 393 320
"2013" 310 376 310 295
